Site,End_Date,Period,StatVar,value
dcid:geoId/06,2020-08-19,P6D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,245
dcid:geoId/08,2020-08-25,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,255
dcid:geoId/09,2020-08-24,P13D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,244
dcid:geoId/11,2020-08-27,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,47
dcid:geoId/10,2020-08-27,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,66
dcid:geoId/12,2020-08-14,P1D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,245
dcid:geoId/13,2020-08-26,P13D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,277
dcid:geoId/15,2020-08-26,P12D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,1
dcid:geoId/19,2020-08-27,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,72
dcid:geoId/16,2020-08-26,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,22
dcid:geoId/17,2020-08-27,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,246
dcid:geoId/18,2020-08-26,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,12
dcid:geoId/20,2020-08-25,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,252
dcid:geoId/21,2020-08-26,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,245
dcid:geoId/22,2020-08-25,P13D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,235
dcid:geoId/25,2020-08-27,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,243
dcid:geoId/24,2020-08-26,P16D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,63
dcid:geoId/23,2020-08-27,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,15
dcid:geoId/26,2020-08-25,P13D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,247
dcid:geoId/27,2020-08-27,P16D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,163
dcid:geoId/29,2020-08-21,P9D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,253
dcid:geoId/28,2020-08-27,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,25
dcid:geoId/30,2020-08-24,P12D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,19
dcid:geoId/37,2020-08-27,P16D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,246
dcid:geoId/38,2020-08-26,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,6
dcid:geoId/31,2020-08-25,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,68
dcid:geoId/33,2020-08-25,P12D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,35
dcid:geoId/34,2020-08-26,P16D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,209
dcid:geoId/35,2020-08-27,P17D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,178
dcid:geoId/32,2020-08-26,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,244
dcid:geoId/36,2020-08-26,P16D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,270
dcid:geoId/39,2020-08-27,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,103
dcid:geoId/40,2020-08-18,P8D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,245
dcid:geoId/41,2020-08-27,P17D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,100
dcid:geoId/42,2020-08-26,P16D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,13
dcid:geoId/72,2020-08-17,P7D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,247
dcid:geoId/44,2020-08-27,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,33
dcid:geoId/45,2020-08-27,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,173
dcid:geoId/46,2020-08-26,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,1
dcid:geoId/47,2020-08-26,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,278
dcid:geoId/48,2020-08-24,P12D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,250
dcid:geoId/49,2020-08-25,P10D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,43
dcid:geoId/51,2020-08-26,P16D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,30
dcid:geoId/50,2020-08-27,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,8
dcid:geoId/53,2020-08-27,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,121
dcid:geoId/55,2020-08-27,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,103
dcid:geoId/54,2020-08-27,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,30
dcid:geoId/56,2020-08-24,P11D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,4
dcid:country/USA,2020-08-27,P17D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,6920
dcid:geoId/02,2020-09-09,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,23
dcid:geoId/01,2020-09-08,P13D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,66
dcid:geoId/05,2020-09-08,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,165
dcid:geoId/04,2020-09-09,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,29
dcid:geoId/06,2020-09-09,P12D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,245
dcid:geoId/08,2020-09-04,P11D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,249
dcid:geoId/09,2020-09-04,P9D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,245
dcid:geoId/11,2020-09-10,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,25
dcid:geoId/10,2020-09-10,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,45
dcid:geoId/12,2020-09-09,P13D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,245
dcid:geoId/13,2020-09-10,P16D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,254
dcid:geoId/15,2020-09-09,P12D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,3
dcid:geoId/19,2020-09-10,P16D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,52
dcid:geoId/16,2020-09-10,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,17
dcid:geoId/17,2020-09-03,P8D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,245
dcid:geoId/18,2020-09-09,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,17
dcid:geoId/20,2020-09-03,P10D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,243
dcid:geoId/21,2020-09-08,P13D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,202
dcid:geoId/22,2020-09-08,P13D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,208
dcid:geoId/25,2020-09-05,P9D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,244
dcid:geoId/24,2020-09-08,P13D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,76
dcid:geoId/23,2020-09-10,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,24
dcid:geoId/26,2020-09-03,P8D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,243
dcid:geoId/27,2020-09-08,P13D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,174
dcid:geoId/29,2020-09-10,P17D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,248
dcid:geoId/28,2020-09-10,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,24
dcid:geoId/30,2020-09-09,P16D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,22
dcid:geoId/37,2020-09-09,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,242
dcid:geoId/38,2020-09-09,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,5
dcid:geoId/31,2020-09-10,P17D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,90
dcid:geoId/33,2020-09-03,P8D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,37
dcid:geoId/34,2020-09-07,P12D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,195
dcid:geoId/35,2020-09-08,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,153
dcid:geoId/32,2020-08-29,P2D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,226
dcid:geoId/36,2020-09-10,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,246
dcid:geoId/39,2020-09-10,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,75
dcid:geoId/40,2020-09-01,P8D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,243
dcid:geoId/41,2020-09-10,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,120
dcid:geoId/42,2020-09-09,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,12
dcid:geoId/72,2020-09-03,P10D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,245
dcid:geoId/44,2020-09-10,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,45
dcid:geoId/45,2020-09-10,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,96
dcid:geoId/46,2020-09-10,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,0
dcid:geoId/47,2020-09-08,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,190
dcid:geoId/48,2020-09-02,P8D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,231
dcid:geoId/49,2020-09-08,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,49
dcid:geoId/51,2020-09-08,P13D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,30
dcid:geoId/50,2020-09-10,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,12
dcid:geoId/53,2020-09-10,P16D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,186
dcid:geoId/55,2020-09-10,P16D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,83
dcid:geoId/54,2020-09-10,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,37
dcid:geoId/56,2020-09-09,P16D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,3
dcid:country/USA,2020-09-10,P17D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,6484
dcid:geoId/02,2020-09-18,P9D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,13
dcid:geoId/01,2020-09-18,P9D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,108
dcid:geoId/05,2020-09-18,P9D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,168
dcid:geoId/04,2020-09-23,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,38
dcid:geoId/06,2020-09-16,P6D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,245
dcid:geoId/08,2020-09-18,P9D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,251
dcid:geoId/09,2020-09-14,P5D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,249
dcid:geoId/11,2020-09-24,P16D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,116
dcid:geoId/10,2020-09-24,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,56
dcid:geoId/12,2020-09-11,P1D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,245
dcid:geoId/13,2020-09-18,P9D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,310
dcid:geoId/15,2020-09-22,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,8
dcid:geoId/19,2020-09-24,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,42
dcid:geoId/16,2020-09-18,P10D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,23
dcid:geoId/17,2020-09-17,P9D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,257
dcid:geoId/18,2020-09-23,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,23
dcid:geoId/20,2020-09-19,P10D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,237
dcid:geoId/21,2020-09-18,P9D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,188
dcid:geoId/22,2020-09-19,P10D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,200
dcid:geoId/25,2020-09-15,P6D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,247
dcid:geoId/24,2020-09-23,P13D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,96
dcid:geoId/23,2020-09-24,P16D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,40
dcid:geoId/26,2020-09-22,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,206
dcid:geoId/27,2020-09-23,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,85
dcid:geoId/29,2020-09-24,P16D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,249
dcid:geoId/28,2020-09-22,P13D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,30
dcid:geoId/30,2020-09-23,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,24
dcid:geoId/37,2020-09-17,P8D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,184
dcid:geoId/38,2020-09-24,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,5
dcid:geoId/31,2020-09-18,P9D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,71
dcid:geoId/33,2020-09-17,P8D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,51
dcid:geoId/34,2020-09-23,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,209
dcid:geoId/35,2020-09-24,P16D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,177
dcid:geoId/32,2020-09-12,P3D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,230
dcid:geoId/36,2020-09-24,P13D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,305
dcid:geoId/39,2020-09-22,P12D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,100
dcid:geoId/40,2020-09-18,P9D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,245
dcid:geoId/41,2020-09-22,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,117
dcid:geoId/42,2020-09-23,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,36
dcid:geoId/72,2020-09-15,P7D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,245
dcid:geoId/44,2020-09-24,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,27
dcid:geoId/45,2020-09-18,P9D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,81
dcid:geoId/46,2020-09-23,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,2
dcid:geoId/47,2020-09-16,P8D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,253
dcid:geoId/48,2020-09-24,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,229
dcid:geoId/49,2020-09-18,P9D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,46
dcid:geoId/51,2020-09-23,P13D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,25
dcid:geoId/50,2020-09-24,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,14
dcid:geoId/53,2020-09-22,P13D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,125
dcid:geoId/55,2020-09-24,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,44
dcid:geoId/54,2020-09-22,P13D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,31
dcid:geoId/56,2020-09-24,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,6
dcid:country/USA,2020-09-24,P16D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,6612
dcid:geoId/02,2020-10-07,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,22
dcid:geoId/01,2020-10-07,P16D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,112
dcid:geoId/05,2020-10-07,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,193
dcid:geoId/04,2020-10-07,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,12
dcid:geoId/06,2020-09-30,P5D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,245
dcid:geoId/08,2020-10-07,P13D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,228
dcid:geoId/09,2020-09-30,P6D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,245
dcid:geoId/11,2020-10-08,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,79
dcid:geoId/10,2020-10-08,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,71
dcid:geoId/12,2020-09-25,P1D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,244
dcid:geoId/13,2020-10-07,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,228
dcid:geoId/15,2020-10-08,P16D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,28
dcid:geoId/19,2020-10-07,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,58
dcid:geoId/16,2020-10-07,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,36
dcid:geoId/17,2020-10-01,P8D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,232
dcid:geoId/18,2020-10-07,P16D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,13
