Site,End_Date,Period,StatVar,value
dcid:geoId/32,2020-08-02,P3D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,8.9
dcid:geoId/36,2020-08-11,P11D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,26.7
dcid:geoId/39,2020-08-11,P13D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,3.3
dcid:geoId/40,2020-08-04,P7D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,3.6
dcid:geoId/41,2020-08-11,P6D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,5.6
dcid:geoId/42,2020-08-11,P11D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/72,2020-08-07,P11D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,0.0
dcid:geoId/44,2020-08-11,P12D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/45,2020-08-13,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,11.6
dcid:geoId/46,2020-08-12,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/47,2020-08-11,P12D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,8.3
dcid:geoId/48,2020-08-05,P7D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,8.4
dcid:geoId/49,2020-08-11,P12D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/51,2020-08-11,P11D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/50,2020-08-11,P12D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/53,2020-08-11,P13D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,0.5
dcid:geoId/55,2020-08-13,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,2.4
dcid:geoId/54,2020-08-13,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/56,2020-08-11,P13D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:country/USA,2020-08-13,P17D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,7.9
dcid:geoId/02,2020-08-26,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/01,2020-08-26,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,11.0
dcid:geoId/05,2020-08-25,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,3.9
dcid:geoId/04,2020-08-26,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/06,2020-08-19,P6D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,5.6
dcid:geoId/08,2020-08-25,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,3.3
dcid:geoId/09,2020-08-24,P13D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,5.1
dcid:geoId/11,2020-08-27,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/10,2020-08-27,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/12,2020-08-14,P1D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,6.4
dcid:geoId/13,2020-08-26,P13D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,9.6
dcid:geoId/15,2020-08-26,P12D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/19,2020-08-27,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/16,2020-08-26,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/17,2020-08-27,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,3.5
dcid:geoId/18,2020-08-26,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/20,2020-08-25,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,2.1
dcid:geoId/21,2020-08-26,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,4.2
dcid:geoId/22,2020-08-25,P13D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,12.2
dcid:geoId/25,2020-08-27,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,4.2
dcid:geoId/24,2020-08-26,P16D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/23,2020-08-27,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/26,2020-08-25,P13D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,6.0
dcid:geoId/27,2020-08-27,P16D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,2.3
dcid:geoId/29,2020-08-21,P9D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,3.7
dcid:geoId/28,2020-08-27,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/30,2020-08-24,P12D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/37,2020-08-27,P16D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,4.1
dcid:geoId/38,2020-08-26,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/31,2020-08-25,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/33,2020-08-25,P12D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/34,2020-08-26,P16D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,16.9
dcid:geoId/35,2020-08-27,P17D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,4.1
dcid:geoId/32,2020-08-26,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,9.7
dcid:geoId/36,2020-08-26,P16D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,25.2
dcid:geoId/39,2020-08-27,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,2.5
dcid:geoId/40,2020-08-18,P8D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,6.9
dcid:geoId/41,2020-08-27,P17D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,2.0
dcid:geoId/42,2020-08-26,P16D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/72,2020-08-17,P7D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,1.0
dcid:geoId/44,2020-08-27,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/45,2020-08-27,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,5.3
dcid:geoId/46,2020-08-26,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/47,2020-08-26,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,6.8
dcid:geoId/48,2020-08-24,P12D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,8.7
dcid:geoId/49,2020-08-25,P10D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/51,2020-08-26,P16D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/50,2020-08-27,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/53,2020-08-27,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,4.7
dcid:geoId/55,2020-08-27,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,1.4
dcid:geoId/54,2020-08-27,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/56,2020-08-24,P11D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:country/USA,2020-08-27,P17D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,7.6
dcid:geoId/02,2020-09-09,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/01,2020-09-08,P13D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/05,2020-09-08,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,7.8
dcid:geoId/04,2020-09-09,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/06,2020-09-09,P12D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,7.6
dcid:geoId/08,2020-09-04,P11D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,4.0
dcid:geoId/09,2020-09-04,P9D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,6.9
dcid:geoId/11,2020-09-10,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/10,2020-09-10,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/12,2020-09-09,P13D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,3.8
dcid:geoId/13,2020-09-10,P16D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,13.4
dcid:geoId/15,2020-09-09,P12D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/19,2020-09-10,P16D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/16,2020-09-10,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/17,2020-09-03,P8D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,9.6
dcid:geoId/18,2020-09-09,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/20,2020-09-03,P10D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,1.9
dcid:geoId/21,2020-09-08,P13D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,2.3
dcid:geoId/22,2020-09-08,P13D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,8.3
dcid:geoId/25,2020-09-05,P9D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,5.3
dcid:geoId/24,2020-09-08,P13D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,15.6
dcid:geoId/23,2020-09-10,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/26,2020-09-03,P8D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,5.2
dcid:geoId/27,2020-09-08,P13D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,4.7
dcid:geoId/29,2020-09-10,P17D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,5.8
dcid:geoId/28,2020-09-10,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/30,2020-09-09,P16D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/37,2020-09-09,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,6.5
dcid:geoId/38,2020-09-09,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/31,2020-09-10,P17D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,9.8
dcid:geoId/33,2020-09-03,P8D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/34,2020-09-07,P12D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,17.4
dcid:geoId/35,2020-09-08,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,2.0
dcid:geoId/32,2020-08-29,P2D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,5.4
dcid:geoId/36,2020-09-10,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,18.2
dcid:geoId/39,2020-09-10,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,10.2
dcid:geoId/40,2020-09-01,P8D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,9.5
dcid:geoId/41,2020-09-10,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,1.6
dcid:geoId/42,2020-09-09,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/72,2020-09-03,P10D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,1.9
dcid:geoId/44,2020-09-10,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/45,2020-09-10,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,6.7
dcid:geoId/46,2020-09-10,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/47,2020-09-08,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,5.3
dcid:geoId/48,2020-09-02,P8D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,6.3
dcid:geoId/49,2020-09-08,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/51,2020-09-08,P13D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/50,2020-09-10,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/53,2020-09-10,P16D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,6.0
dcid:geoId/55,2020-09-10,P16D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,0.8
dcid:geoId/54,2020-09-10,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/56,2020-09-09,P16D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:country/USA,2020-09-10,P17D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,7.7
dcid:geoId/02,2020-09-18,P9D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/01,2020-09-18,P9D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,16.1
dcid:geoId/05,2020-09-18,P9D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,8.6
dcid:geoId/04,2020-09-23,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/06,2020-09-16,P6D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,8.1
dcid:geoId/08,2020-09-18,P9D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,4.5
dcid:geoId/09,2020-09-14,P5D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,4.1
dcid:geoId/11,2020-09-24,P16D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,7.5
dcid:geoId/10,2020-09-24,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/12,2020-09-11,P1D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,13.0
dcid:geoId/13,2020-09-18,P9D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,18.7
dcid:geoId/15,2020-09-22,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/19,2020-09-24,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/16,2020-09-18,P10D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/17,2020-09-17,P9D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,5.7
dcid:geoId/18,2020-09-23,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/20,2020-09-19,P10D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,5.0
dcid:geoId/21,2020-09-18,P9D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,4.1
dcid:geoId/22,2020-09-19,P10D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,15.1
dcid:geoId/25,2020-09-15,P6D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,5.3
dcid:geoId/24,2020-09-23,P13D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,11.5
dcid:geoId/23,2020-09-24,P16D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/26,2020-09-22,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,7.3
dcid:geoId/27,2020-09-23,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,10.6
dcid:geoId/29,2020-09-24,P16D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,5.1
dcid:geoId/28,2020-09-22,P13D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/30,2020-09-23,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/37,2020-09-17,P8D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,10.1
dcid:geoId/38,2020-09-24,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/31,2020-09-18,P9D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/33,2020-09-17,P8D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/34,2020-09-23,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,18.1
dcid:geoId/35,2020-09-24,P16D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,4.0
dcid:geoId/32,2020-09-12,P3D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,6.3
dcid:geoId/36,2020-09-24,P13D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,21.4
dcid:geoId/39,2020-09-22,P12D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,4.9
dcid:geoId/40,2020-09-18,P9D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,7.1
dcid:geoId/41,2020-09-22,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,5.2
dcid:geoId/42,2020-09-23,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/72,2020-09-15,P7D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,2.6
dcid:geoId/44,2020-09-24,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/45,2020-09-18,P9D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,9.6
dcid:geoId/46,2020-09-23,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/47,2020-09-16,P8D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,10.8
dcid:geoId/48,2020-09-24,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,12.7
dcid:geoId/49,2020-09-18,P9D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/51,2020-09-23,P13D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/50,2020-09-24,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/53,2020-09-22,P13D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,4.2
dcid:geoId/55,2020-09-24,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/54,2020-09-22,P13D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/56,2020-09-24,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:country/USA,2020-09-24,P16D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,9.7
dcid:geoId/02,2020-10-07,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/01,2020-10-07,P16D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,14.1
dcid:geoId/05,2020-10-07,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,4.1
dcid:geoId/04,2020-10-07,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/06,2020-09-30,P5D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,7.9
dcid:geoId/08,2020-10-07,P13D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,3.6
dcid:geoId/09,2020-09-30,P6D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,3.0
dcid:geoId/11,2020-10-08,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,7.1
dcid:geoId/10,2020-10-08,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/12,2020-09-25,P1D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,9.9
