DescriptorId,ConceptID,ConceptName,DateCreated,DateRevised,DateEstablished,Concept_dcid,Descriptor_dcid
D000020,M0000022,"Abortifacient Agents, Nonsteroidal",11/11/74,6/25/14,1/1/91,bio/M0000022,bio/D000020
D000021,M0000023,"Abortifacient Agents, Steroidal",11/11/74,6/30/05,1/1/91,bio/M0000023,bio/D000021
D000022,M0000024,"Abortion, Spontaneous",1/1/99,6/21/18,1/1/99,bio/M0000024,bio/D000022
D000022,M000639514,Early Pregnancy Loss,,,,bio/M000639514,bio/D000022
D000022,M000639513,Miscarriage,,,,bio/M000639513,bio/D000022
D000022,M0000025,"Abortion, Tubal",,,,bio/M0000025,bio/D000022
D000023,M0000026,Abortion Applicants,11/19/74,6/23/15,1/1/76,bio/M0000026,bio/D000023
D000023,M0000028,"Abortion Seekers, Repeated",,,,bio/M0000028,bio/D000023
D000023,M0000027,"Abortion Seekers, Refused",,,,bio/M0000027,bio/D000023
D000024,M0000029,"Abortion, Criminal",1/1/99,6/23/15,1/1/66,bio/M0000029,bio/D000024
D000025,M0000030,"Abortion, Eugenic",11/19/74,6/23/15,1/1/91,bio/M0000030,bio/D000025
D000025,M0000031,"Abortion, Selective",,,,bio/M0000031,bio/D000025
D000026,M0000032,"Abortion, Habitual",1/1/99,6/20/17,1/1/66,bio/M0000032,bio/D000026
D000027,M0000033,"Abortion, Incomplete",11/11/74,6/30/05,9/1/75,bio/M0000033,bio/D000027
D000028,M0000037,"Abortion, Induced",1/1/99,7/2/02,1/1/71,bio/M0000037,bio/D000028
D000028,M0000035,Abortion Rate,,,,bio/M0000035,bio/D000028
D000028,M0000043,Abortion Techniques,,,,bio/M0000043,bio/D000028
D000028,M0000036,"Abortion, Drug-Induced",,,,bio/M0000036,bio/D000028
D000028,M0000034,Previous Abortion,,,,bio/M0000034,bio/D000028
D000028,M0000039,"Abortion, Saline-Solution",,,,bio/M0000039,bio/D000028
D000028,M0000044,"Abortion, Soap-Solution",,,,bio/M0000044,bio/D000028
D000028,M0000040,Anti-Abortion Groups,,,,bio/M0000040,bio/D000028
D000028,M0000041,Embryotomy,,,,bio/M0000041,bio/D000028
D000028,M0000042,"Fertility Control, Postconception",,,,bio/M0000042,bio/D000028
D000028,M0000045,Abortion Failure,,,,bio/M0000045,bio/D000028
D000028,M0000038,"Abortion, Rivanol",,,,bio/M0000038,bio/D000028
D000029,M0000047,"Abortion, Legal",1/1/99,6/23/15,1/1/64,bio/M0000047,bio/D000029
D000029,M0000046,Abortion on Demand,,,,bio/M0000046,bio/D000029
D000030,M0000048,"Abortion, Missed",1/1/99,6/30/05,1/1/66,bio/M0000048,bio/D000030
D000031,M0000050,"Abortion, Septic",1/1/99,6/17/19,1/1/66,bio/M0000050,bio/D000031
D000032,M0000051,"Abortion, Therapeutic",1/1/99,6/20/97,1/1/66,bio/M0000051,bio/D000032
D000033,M0000052,"Abortion, Threatened",1/1/99,6/20/17,1/1/66,bio/M0000052,bio/D000033
D000034,M0000053,"Abortion, Veterinary",1/1/99,7/9/07,1/1/66,bio/M0000053,bio/D000034
D000035,M0000054,Abreaction,1/1/99,6/20/97,1/1/68,bio/M0000054,bio/D000035
D000036,M0000055,Abrin,11/19/74,7/9/07,1/1/91,bio/M0000055,bio/D000036
D000036,M0000057,Abrin C,,,,bio/M0000057,bio/D000036
D000036,M0000056,Abrin A,,,,bio/M0000056,bio/D000036
D000037,M0000058,Abruptio Placentae,1/1/99,6/30/05,1/1/66,bio/M0000058,bio/D000037
D000038,M0000059,Abscess,1/1/99,6/17/19,1/1/66,bio/M0000059,bio/D000038
D000039,M0000060,Peritonsillar Abscess,1/1/99,6/17/19,1/1/89,bio/M0000060,bio/D000039
D000040,M0000061,Abscisic Acid,11/19/74,7/2/19,1/1/91,bio/M0000061,bio/D000040
D000040,M0330738,"Abscisic Acid, (+,-)-Isomer",,,,bio/M0330738,bio/D000040
D000040,M0330737,"Abscisic Acid, (Z,E)-Isomer",,,,bio/M0330737,bio/D000040
D000040,M0330678,"Abscisic Acid, (E,Z)-(+,-)-Isomer",,,,bio/M0330678,bio/D000040
D000040,M0330677,"Abscisic Acid, (R)-Isomer",,,,bio/M0330677,bio/D000040
D000040,M0330680,"Abscisic Acid Monoammonium Salt, (R)-Isomer",,,,bio/M0330680,bio/D000040
D000040,M0330679,"Abscisic Acid, (E,E)-(+-)-Isomer",,,,bio/M0330679,bio/D000040
D000041,M0000062,Absenteeism,1/1/99,5/27/94,1/1/63,bio/M0000062,bio/D000041
D000042,M0000063,Absorption,1/1/99,5/2/16,1/1/66,bio/M0000063,bio/D000042
D000043,M0000065,Abstracting and Indexing,1/1/99,7/5/19,1/1/60,bio/M0000065,bio/D000043
D000043,M0372380,Indexing,,,,bio/M0372380,bio/D000043
D000043,M0000066,Indexes as Topic,,,,bio/M0000066,bio/D000043
D000043,M0000064,Abstracting,,,,bio/M0000064,bio/D000043
D000044,M0000067,Dental Abutments,1/1/99,6/22/15,1/1/70,bio/M0000067,bio/D000044
D000045,M0000068,Acacia,1/1/99,8/13/20,1/1/91,bio/M0000068,bio/D000045
D000045,M0397059,Acacia catechu,,,,bio/M0397059,bio/D000045
D000046,M0000069,Academic Medical Centers,6/1/79,5/24/19,1/1/80,bio/M0000069,bio/D000046
D000047,M0000071,Academies and Institutes,1/1/99,11/3/99,1/1/70,bio/M0000071,bio/D000047
D000047,M0000072,Institutes,,,,bio/M0000072,bio/D000047
D000047,M0000073,Research Institutes,,,,bio/M0000073,bio/D000047
D000047,M0000070,Academies,,,,bio/M0000070,bio/D000047
D000048,M0000074,Acanthamoeba,4/30/87,8/13/20,1/1/88,bio/M0000074,bio/D000048
D000049,M0000075,Acanthocephala,1/1/99,8/13/20,1/1/74,bio/M0000075,bio/D000049
D000050,M0000076,Acanthocytes,11/11/74,7/9/03,1/1/91,bio/M0000076,bio/D000050
D000051,M0000077,Acantholysis,1/1/99,7/10/08,1/1/91,bio/M0000077,bio/D000051
D000052,M0000078,Acanthosis Nigricans,1/1/99,7/1/16,1/1/66,bio/M0000078,bio/D000052
D000053,M0000079,Acari,1/1/99,8/13/20,1/1/75,bio/M0000079,bio/D000053
D000054,M0000080,Acceleration,1/1/99,1/15/16,1/1/66,bio/M0000080,bio/D000054
D000055,M0000081,Accessory Nerve,1/1/99,6/13/14,1/1/66,bio/M0000081,bio/D000055
D000056,M0000083,Accident Prevention,1/1/99,7/8/08,1/1/66,bio/M0000083,bio/D000056
D000057,M0000084,Accident Proneness,11/11/74,7/2/02,9/1/75,bio/M0000084,bio/D000057
D000058,M0000085,Accidental Falls,6/24/86,6/16/15,1/1/91,bio/M0000085,bio/D000058
D000058,M000597654,Slip and Fall,,,,bio/M000597654,bio/D000058
D000059,M0000086,Accidents,1/1/99,7/8/19,1/1/66,bio/M0000086,bio/D000059
D000060,M0000087,"Accidents, Aviation",1/1/99,11/30/15,1/1/66,bio/M0000087,bio/D000060
D000061,M0000088,"Accidents, Home",1/1/99,11/30/15,1/1/70,bio/M0000088,bio/D000061
D000062,M0000090,"Accidents, Occupational",1/1/99,6/24/11,1/1/79,bio/M0000090,bio/D000062
D000062,M0000089,"Accidents, Industrial",,,,bio/M0000089,bio/D000062
D000063,M0000091,"Accidents, Traffic",1/1/99,5/31/19,1/1/66,bio/M0000091,bio/D000063
D000063,M000648753,Traffic Collisions,,,,bio/M000648753,bio/D000063
D000063,M000648752,Traffic Crashes,,,,bio/M000648752,bio/D000063
D000064,M0000092,Acclimatization,1/1/99,2/19/16,1/1/66,bio/M0000092,bio/D000064
D000065,M0000093,"Accommodation, Ocular",1/1/99,6/2/16,1/1/66,bio/M0000093,bio/D000065
D000065,M0471007,"Accommodation, Lens",,,,bio/M0471007,bio/D000065
D000066,M0000094,Accounting,1/1/99,6/10/96,1/1/66,bio/M0000094,bio/D000066
D000066388,M000594798,Oil and Gas Industry,7/1/15,1/16/20,1/1/16,bio/M000594798,bio/D000066388
D000066388,M000594936,Petroleum Industry,,,,bio/M000594936,bio/D000066388
D000066388,M000677418,Oil Refinery,,,,bio/M000677418,bio/D000066388
D000066388,M000594935,Natural Gas Industry,,,,bio/M000594935,bio/D000066388
D000066428,M000594937,Coal Industry,7/1/15,10/5/15,1/1/16,bio/M000594937,bio/D000066428
D000066448,M000595368,Driving Under the Influence,7/2/15,5/6/19,1/1/16,bio/M000595368,bio/D000066448
D000066448,M000649277,Drinking and Driving,,,,bio/M000649277,bio/D000066448
D000066449,M000595369,Human Embryonic Stem Cells,7/1/15,5/27/20,1/1/16,bio/M000595369,bio/D000066449
D000066450,M000595370,Mouse Embryonic Stem Cells,7/1/15,5/27/20,1/1/16,bio/M000595370,bio/D000066450
D000066473,M000595433,Embryonic Germ Cells,7/10/15,7/10/15,1/1/16,bio/M000595433,bio/D000066473
D000066477,M000595463,Work Performance,7/1/15,6/16/15,1/1/16,bio/M000595463,bio/D000066477
D000066477,M000602080,Job Performance,,,,bio/M000602080,bio/D000066477
D000066479,M000595471,Criminal Behavior,7/1/15,10/15/14,1/1/16,bio/M000595471,bio/D000066479
D000066491,M000595509,Clinical Decision-Making,7/2/15,5/8/19,1/1/16,bio/M000595509,bio/D000066491
D000066492,M000595510,Cognitive Aging,7/7/15,6/17/16,1/1/16,bio/M000595510,bio/D000066492
D000066494,M000595512,Cognitive Neuroscience,7/7/15,4/29/20,1/1/16,bio/M000595512,bio/D000066494
D000066494,M000679337,Social Neuroscience,,,,bio/M000679337,bio/D000066494
D000066498,M000595534,Emotional Adjustment,7/10/15,7/9/15,1/1/16,bio/M000595534,bio/D000066498
D000066499,M000595535,Facial Recognition,7/7/15,6/22/20,1/1/16,bio/M000595535,bio/D000066499
D000066499,M000678497,Facial Emotion Recognition,,,,bio/M000678497,bio/D000066499
D000066502,M000595544,Grandparents,7/1/15,3/22/19,1/1/16,bio/M000595544,bio/D000066502
D000066502,M000602084,Grandmother,,,,bio/M000602084,bio/D000066502
D000066502,M000602085,Grandfather,,,,bio/M000602085,bio/D000066502
D000066505,M000595549,Help-Seeking Behavior,7/1/15,10/15/14,1/1/16,bio/M000595549,bio/D000066505
D000066506,M000595550,Heuristics,7/6/15,7/5/19,1/1/16,bio/M000595550,bio/D000066506
D000066511,M000595633,Intimate Partner Violence,7/1/15,4/9/15,1/1/16,bio/M000595633,bio/D000066511
D000066511,M000602082,Dating Violence,,,,bio/M000602082,bio/D000066511
D000066530,M000595649,Neurological Rehabilitation,7/1/15,7/5/19,1/1/16,bio/M000595649,bio/D000066530
D000066550,M000595685,Physical Abuse,7/1/15,4/9/15,1/1/16,bio/M000595685,bio/D000066550
D000066553,M000595694,Problem Behavior,7/6/15,7/5/16,1/1/16,bio/M000595694,bio/D000066553
D000066553,M000619281,"Dysfunctional Behavior, Psychology",,,,bio/M000619281,bio/D000066553
D000066553,M000599813,Disruptive Behavior,,,,bio/M000599813,bio/D000066553
D000066608,M000595823,Underage Drinking,7/6/15,5/27/20,1/1/16,bio/M000595823,bio/D000066608
D000066608,M000598918,Legal Drinking Age,,,,bio/M000598918,bio/D000066608
D000066630,M000595942,Ectopic Gene Expression,7/7/15,6/17/16,1/1/16,bio/M000595942,bio/D000066630
D000066670,M000595981,Cell Plasticity,7/9/15,1/15/16,1/1/16,bio/M000595981,bio/D000066670
D000066673,M000595987,Cell Self Renewal,7/9/15,1/15/16,1/1/16,bio/M000595987,bio/D000066673
D000066673,M000600198,Stem Cell Self-Renewal,,,,bio/M000600198,bio/D000066673
D000066768,M000596264,Rehabilitation Research,7/1/15,10/15/14,1/1/16,bio/M000596264,bio/D000066768
D000066792,M000596291,Orthodontists,7/1/15,6/29/18,1/1/16,bio/M000596291,bio/D000066792
D000066792,M000596293,Dentofacial Orthopedists,,,,bio/M000596293,bio/D000066792
D000066794,M000596294,Oral and Maxillofacial Surgeons,7/1/15,6/29/18,1/1/16,bio/M000596294,bio/D000066794
D000066794,M000596544,Exodontists,,,,bio/M000596544,bio/D000066794
D000066829,M000596409,Neuroprotection,7/7/15,7/5/19,1/1/16,bio/M000596409,bio/D000066829
D000066888,M000596765,"Diet, Food, and Nutrition",7/1/15,6/17/15,1/1/16,bio/M000596765,bio/D000066888
D000066889,M0003855,Triticale,7/1/15,8/13/20,1/1/16,bio/M0003855,bio/D000066889
D000066891,M000596781,Critical Care Outcomes,7/1/15,5/30/19,1/1/16,bio/M000596781,bio/D000066891
D000066908,M000596822,Simulation Training,7/1/15,10/15/14,1/1/16,bio/M000596822,bio/D000066908
D000066908,M000598229,Interactive Learning,,,,bio/M000598229,bio/D000066908
D000066928,M000596863,Millets,7/1/15,9/2/20,1/1/16,bio/M000596863,bio/D000066928
D000066949,M000597265,Biobehavioral Sciences,7/9/15,2/21/20,1/1/16,bio/M000597265,bio/D000066949
D000066970,M000597344,Protein Corona,7/1/15,10/15/14,1/1/16,bio/M000597344,bio/D000066970
D000066988,M000597380,Vegetarians,7/6/15,10/15/14,1/1/16,bio/M000597380,bio/D000066988
D000066988,M000597831,Lacto-Ovo Vegetarians,,,,bio/M000597831,bio/D000066988
D000066989,M000597400,Vegans,7/6/15,10/15/14,1/1/16,bio/M000597400,bio/D000066989
D000067,M0000096,Accounts Payable and Receivable,5/5/77,5/30/90,1/1/91,bio/M0000096,bio/D000067
D000067,M0000095,Accounts Payable,,,,bio/M0000095,bio/D000067
D000067009,M000597564,Youth Sports,7/1/15,10/15/14,1/1/16,bio/M000597564,bio/D000067009
D000067009,M000597565,Organized Youth Sports,,,,bio/M000597565,bio/D000067009
D000067010,M000597566,Literacy,7/10/15,6/30/17,1/1/16,bio/M000597566,bio/D000067010
D000067010,M0007114,Illiteracy,,,,bio/M0007114,bio/D000067010
D000067011,M000597567,Severe Acute Malnutrition,7/1/15,10/15/14,1/1/16,bio/M000597567,bio/D000067011
D000067012,M000597568,"Banking, Personal",7/1/15,10/23/14,1/1/16,bio/M000597568,bio/D000067012
D000067012,M000598223,Savings Accounts,,,,bio/M000598223,bio/D000067012
D000067012,M000598993,Checking Accounts,,,,bio/M000598993,bio/D000067012
D000067013,M000597569,Evidence-Based Facility Design,7/1/15,10/15/14,1/1/16,bio/M000597569,bio/D000067013
D000067029,M000597655,"Physical Appearance, Body",7/1/15,11/24/15,1/1/16,bio/M000597655,bio/D000067029
D000067030,M000597658,Fruit and Vegetable Juices,7/1/15,7/9/19,1/1/16,bio/M000597658,bio/D000067030
D000067030,M000598121,Vegetable Juices,,,,bio/M000598121,bio/D000067030
D000067030,M000598120,Fruit Juices,,,,bio/M000598120,bio/D000067030
D000067048,M0006336,Ghee,7/1/15,1/12/15,1/1/16,bio/M0006336,bio/D000067048
D000067071,M000597774,Hydraulic Fracking,7/1/15,10/15/14,1/1/16,bio/M000597774,bio/D000067071
D000067073,M000597776,Psychological Trauma,7/6/15,1/14/19,1/1/16,bio/M000597776,bio/D000067073
D000067074,M000597777,Peer Influence,7/1/15,7/1/15,1/1/16,bio/M000597777,bio/D000067074
D000067074,M000597778,Peer Pressure,,,,bio/M000597778,bio/D000067074
D000067075,M000597800,Vegetable Products,7/1/15,10/14/14,1/1/16,bio/M000597800,bio/D000067075
D000067088,M000597832,Direct-to-Consumer Advertising,7/1/15,10/15/14,1/1/16,bio/M000597832,bio/D000067088
D000067108,M000597879,Direct-To-Consumer Screening and Testing,7/6/15,6/26/15,1/1/16,bio/M000597879,bio/D000067108
D000067128,M000597885,Extracellular Vesicles,7/10/15,7/10/15,1/1/16,bio/M000597885,bio/D000067128
D000067128,M000597887,Exovesicles,,,,bio/M000597887,bio/D000067128
D000067128,M000597888,Apoptotic Bodies,,,,bio/M000597888,bio/D000067128
D000067148,M000597932,Fungal Viruses,7/1/15,9/2/20,1/1/16,bio/M000597932,bio/D000067148
D000067170,M0533148,Telocytes,7/6/15,1/12/15,1/1/16,bio/M0533148,bio/D000067170
D000067190,M000598118,Exoskeleton Device,7/7/15,7/6/15,1/1/16,bio/M000598118,bio/D000067190
D000067190,M000598119,Robotic Exoskeleton,,,,bio/M000598119,bio/D000067190
D000067208,M000598204,Shellfish Hypersensitivity,7/6/15,11/21/14,1/1/16,bio/M000598204,bio/D000067208
D000067248,M000599441,"Failure to Rescue, Health Care",7/9/15,5/30/19,1/1/16,bio/M000599441,bio/D000067248
D000067250,M000598273,Psychiatric Rehabilitation,7/1/15,4/29/20,1/1/16,bio/M000598273,bio/D000067250
D000067250,M000679406,Psychosocial Care,,,,bio/M000679406,bio/D000067250
D000067251,M000598274,Symptom Flare Up,7/1/15,10/5/18,1/1/16,bio/M000598274,bio/D000067251
D000067251,M000644799,Symptom Exacerbation,,,,bio/M000644799,bio/D000067251
D000067268,M000598304,Isolated Heart Preparation,7/6/15,11/2/18,1/1/16,bio/M000598304,bio/D000067268
D000067268,M000598306,Langendorff Perfused Heart,,,,bio/M000598306,bio/D000067268
D000067268,M000599514,Working Heart Preparation Technique,,,,bio/M000599514,bio/D000067268
D000067268,M000598305,Working Heart Preparation,,,,bio/M000598305,bio/D000067268
D000067268,M000599513,Isolated Heart Preparation Technique,,,,bio/M000599513,bio/D000067268
D000067269,M0416012,"Diet, Vegan",7/9/15,6/30/16,1/1/16,bio/M0416012,bio/D000067269
D000067269,M000615343,Veganism,,,,bio/M000615343,bio/D000067269
D000067289,M000598346,Behavior Observation Techniques,7/9/15,7/7/15,1/1/16,bio/M000598346,bio/D000067289
D000067290,M000598347,Behavior Rating Scale,7/9/15,7/7/15,1/1/16,bio/M000598347,bio/D000067290
D000067290,M000598349,Behavior Test,,,,bio/M000598349,bio/D000067290
D000067292,M000598358,Alcohol Drinking in College,7/9/15,7/7/15,1/1/16,bio/M000598358,bio/D000067292
D000067329,M000598563,"Obesity, Metabolically Benign",7/1/15,5/30/19,1/1/16,bio/M000598563,bio/D000067329
D000067348,M000598785,Whole Grains,7/1/15,2/26/15,1/1/16,bio/M000598785,bio/D000067348
D000067348,M000600566,Whole Grain Cereals,,,,bio/M000600566,bio/D000067348
D000067368,M000599080,Transanal Endoscopic Surgery,7/1/15,6/20/17,1/1/16,bio/M000599080,bio/D000067368
D000067368,M000626938,Transanal Minimally Invasive Surgery,,,,bio/M000626938,bio/D000067368
D000067369,M000599083,Transanal Endoscopic Microsurgery,7/1/15,1/12/15,1/1/16,bio/M000599083,bio/D000067369
D000067390,M000599150,Cold Injury,7/7/15,7/6/15,1/1/16,bio/M000599150,bio/D000067390
D000067393,M000599156,Personal Protective Equipment,7/1/15,5/27/20,1/1/16,bio/M000599156,bio/D000067393
D000067397,M000599163,Nerve Agents,7/1/15,5/27/20,1/1/16,bio/M000599163,bio/D000067397
D000067397,M000617994,Nerve Gas,,,,bio/M000617994,bio/D000067397
D000067398,M000599167,War-Related Injuries,7/6/15,6/29/15,1/1/16,bio/M000599167,bio/D000067398
D000067398,M000599553,War-Related Trauma,,,,bio/M000599553,bio/D000067398
D000067399,M000599182,Abnormal Involuntary Movement Scale,7/9/15,7/7/15,1/1/16,bio/M000599182,bio/D000067399
D000067401,M000599184,Blood Alcohol Content,7/2/15,12/2/14,1/1/16,bio/M000599184,bio/D000067401
D000067404,M000599200,Social Communication Disorder,7/1/15,2/10/15,1/1/16,bio/M000599200,bio/D000067404
D000067408,M000599241,Legal Services,7/1/15,12/2/14,1/1/16,bio/M000599241,bio/D000067408
D000067448,M000599541,Defamation,7/1/15,3/22/19,1/1/16,bio/M000599541,bio/D000067448
D000067448,M000600202,Slander,,,,bio/M000600202,bio/D000067448
D000067448,M000601365,Libel,,,,bio/M000601365,bio/D000067448
D000067449,M000599545,Anger Management Therapy,7/1/15,1/12/15,1/1/16,bio/M000599545,bio/D000067449
D000067450,M000599547,"Psychology, Sports",7/1/15,6/29/18,1/1/16,bio/M000599547,bio/D000067450
D000067453,M000599159,War Exposure,7/7/15,6/29/18,1/1/16,bio/M000599159,bio/D000067453
D000067454,M000599565,Childhood-Onset Fluency Disorder,7/1/15,6/30/15,1/1/16,bio/M000599565,bio/D000067454
D000067455,M000599566,No-Show Patients,7/6/15,6/20/17,1/1/16,bio/M000599566,bio/D000067455
D000067470,M000599707,Cellular Reprogramming Techniques,7/6/15,3/16/17,1/1/16,bio/M000599707,bio/D000067470
D000067470,M000599717,Directed Differentiation Techniques,,,,bio/M000599717,bio/D000067470
D000067470,M000599719,Direct Cell Reprogramming Techniques,,,,bio/M000599719,bio/D000067470
D000067489,M000599741,Metacognition,7/6/15,6/20/17,1/1/16,bio/M000599741,bio/D000067489
D000067489,M000599745,Metacognitive Awareness,,,,bio/M000599745,bio/D000067489
D000067489,M000599743,Metacognitive Monitoring,,,,bio/M000599743,bio/D000067489
D000067489,M000599744,Metacognitive Control,,,,bio/M000599744,bio/D000067489
D000067489,M000632391,Metaemotion,,,,bio/M000632391,bio/D000067489
D000067489,M000599742,Metamemory,,,,bio/M000599742,bio/D000067489
D000067490,M000599765,Prescription Drug Overuse,7/1/15,6/30/17,1/1/16,bio/M000599765,bio/D000067490
D000067491,M000599770,"Near Miss, Healthcare",7/1/15,6/26/15,1/1/16,bio/M000599770,bio/D000067491
D000067492,M000599772,RNAi Therapeutics,7/2/15,6/16/15,1/1/16,bio/M000599772,bio/D000067492
D000067493,M000599773,Dynamic Light Scattering,7/1/15,1/21/15,1/1/16,bio/M000599773,bio/D000067493
D000067493,M000599774,Quasi-Elastic Light Scattering (QELS),,,,bio/M000599774,bio/D000067493
D000067494,M000599811,"Time Out, Healthcare",7/1/15,1/9/15,1/1/16,bio/M000599811,bio/D000067494
D000067494,M000600463,Surgical Time Out,,,,bio/M000600463,bio/D000067494
D000067495,M000599816,Healthcare Failure Mode and Effect Analysis,7/1/15,1/9/15,1/1/16,bio/M000599816,bio/D000067495
D000067495,M000599815,Failure Mode and Effect Analysis,,,,bio/M000599815,bio/D000067495
D000067496,M000599848,Spirit Possession,7/1/15,7/5/19,1/1/16,bio/M000599848,bio/D000067496
D000067498,M000599866,"Crew Resource Management, Healthcare",7/1/15,1/9/15,1/1/16,bio/M000599866,bio/D000067498
D000067508,M000599948,Computer Heuristics,7/7/15,3/22/19,1/1/16,bio/M000599948,bio/D000067508
D000067528,M000599991,Ataxins,7/6/15,5/27/20,1/1/16,bio/M000599991,bio/D000067528
D000067531,M000599994,Alarmins,7/1/15,6/30/16,1/1/16,bio/M000599994,bio/D000067531
D000067548,M000600114,Dermal Fillers,7/1/15,1/21/15,1/1/16,bio/M000600114,bio/D000067548
D000067549,M000600120,Action Spectrum,7/1/15,6/16/15,1/1/16,bio/M000600120,bio/D000067549
D000067551,M000600122,Diplomacy,7/1/15,6/20/17,1/1/16,bio/M000600122,bio/D000067551
D000067552,M000600556,Mutation Accumulation,7/1/15,1/21/15,1/1/16,bio/M000600556,bio/D000067552
D000067552,M000600126,Spontaneous Mutation Accumulation,,,,bio/M000600126,bio/D000067552
D000067556,M000600153,Internal Ribosome Entry Sites,7/1/15,1/12/15,1/1/16,bio/M000600153,bio/D000067556
D000067558,M000600168,Biological Mimicry,7/6/15,6/2/16,1/1/16,bio/M000600168,bio/D000067558
D000067558,M000600496,Biological Camouflage,,,,bio/M000600496,bio/D000067558
D000067559,M000600172,Specific Learning Disorder,7/1/15,2/10/15,1/1/16,bio/M000600172,bio/D000067559
D000067561,M000600188,Potentially Inappropriate Medication List,7/9/15,7/9/15,1/1/16,bio/M000600188,bio/D000067561
D000067561,M000600191,Beers Criteria,,,,bio/M000600191,bio/D000067561
D000067561,M000600192,STOPP (Screening Tool of Older Person's Potentially Inappropriate Prescriptions),,,,bio/M000600192,bio/D000067561
D000067561,M000600190,Medication Appropriateness Index,,,,bio/M000600190,bio/D000067561
D000067562,M000600189,Late Onset Disorders,7/9/15,7/8/15,1/1/16,bio/M000600189,bio/D000067562
D000067563,M000600193,Phakopsora pachyrhizi,7/1/15,5/27/20,1/1/16,bio/M000600193,bio/D000067563
D000067565,M000600200,Farmers,7/9/15,7/7/15,1/1/16,bio/M000600200,bio/D000067565
D000067565,M000601422,Ranchers,,,,bio/M000601422,bio/D000067565
D000067568,M000601530,Culturally Appropriate Technology,7/1/15,1/21/15,1/1/16,bio/M000601530,bio/D000067568
D000067568,M000600207,Intermediate Technology,,,,bio/M000600207,bio/D000067568
D000067568,M000601531,Soft Technology,,,,bio/M000601531,bio/D000067568
D000067570,M000600210,Social Learning,7/1/15,1/21/15,1/1/16,bio/M000600210,bio/D000067570
D000067571,M000600211,Financial Statements,7/1/15,7/2/15,1/1/16,bio/M000600211,bio/D000067571
D000067571,M000600508,"Assets, Financial",,,,bio/M000600508,bio/D000067571
D000067571,M000600214,Cash Flow Statement,,,,bio/M000600214,bio/D000067571
D000067571,M000600212,Balance Sheet,,,,bio/M000600212,bio/D000067571
D000067571,M000600215,Expense Statement,,,,bio/M000600215,bio/D000067571
